word,reading,meaning,example,example_vi
措置,そち,biện pháp,政府は物価上昇に対して新たな措置を取った。,Chính phủ đã đưa ra biện pháp mới đối với việc giá cả tăng.
遂行,すいこう,"hoàn thành, thực hiện (nhiệm vụ)",彼はどんな困難な任務も確実に遂行する。,Anh ấy hoàn thành chắc chắn mọi nhiệm vụ khó khăn.
中枢,ちゅうすう,"cốt lõi, trung tâm",この部署は会社の中枢を担っている。,Bộ phận này đảm nhận vai trò cốt lõi của công ty.
矛盾,むじゅん,mâu thuẫn,彼の話には矛盾が多く、信用しにくい。,"Lời anh ta có nhiều mâu thuẫn, khó tin tưởng."
貢献,こうけん,"sự cống hiến, đóng góp",彼女は地域社会の発展に大きく貢献した。,Cô ấy đã đóng góp lớn cho sự phát triển của cộng đồng.
克服,こくふく,"khắc phục, vượt qua",彼は病気を克服して、また働き始めた。,Anh ấy đã vượt qua bệnh tật và bắt đầu làm việc trở lại.
秩序,ちつじょ,trật tự,災害時でも社会の秩序は保たれた。,"Ngay cả khi có thiên tai, trật tự xã hội vẫn được duy trì."
遺憾,いかん,"đáng tiếc, lấy làm tiếc",今回の結果は誠に遺憾である。,Kết quả lần này thực sự đáng tiếc.
忠告,ちゅうこく,khuyên răn,先輩の忠告を聞かず、失敗してしまった。,Không nghe lời khuyên của tiền bối nên đã thất bại.
拡張,かくちょう,mở rộng,会社は事業の拡張を計画している。,Công ty đang lên kế hoạch mở rộng kinh doanh.
執着,しゅうちゃく,"bận tâm, lưu luyến",彼は過去の失敗に執着しすぎている。,Anh ấy quá bận tâm về thất bại trong quá khứ.
干渉,かんしょう,can thiệp,他人の生活に干渉するのはよくない。,Can thiệp vào cuộc sống người khác là không tốt.
振興,しんこう,"khuyến khích, xúc tiến",地元の産業振興のためのイベントが開かれた。,Sự kiện được tổ chức nhằm xúc tiến ngành công nghiệp địa phương.
錯覚,さっかく,"ảo giác, nhầm lẫn",疲れていると時々錯覚を起こすことがある。,"Khi mệt mỏi, đôi khi ta có thể bị ảo giác."
枯渇,こかつ,cạn kiệt,資源の枯渇が深刻な問題になっている。,Sự cạn kiệt tài nguyên đang trở thành vấn đề nghiêm trọng.
軌跡,きせき,"quỹ đạo, dấu vết",彼の人生の軌跡をたどってみた。,Tôi đã thử lần theo dấu vết cuộc đời của anh ấy.
誇張,こちょう,"cường điệu, thổi phồng",その広告は事実を誇張して伝えている。,Quảng cáo đó truyền tải sự thật một cách cường điệu.
腐敗,ふはい,"sự mục nát, thối rữa",政治の腐敗が国民の不満を招いた。,Sự thối nát trong chính trị đã gây ra sự bất mãn của người dân.
寿命,じゅみょう,tuổi thọ,医療の進歩で人間の寿命は延びている。,"Nhờ tiến bộ y học, tuổi thọ con người đang tăng lên."
履歴,りれき,lý lịch,面接の前に履歴書を準備しておく必要がある。,Cần chuẩn bị sơ yếu lý lịch trước khi phỏng vấn.
