word,reading,meaning,example,example_vi
お世話になっております,おせわになっております,luôn được quý công ty giúp đỡ (mở đầu email/điện thoại),いつもお世話になっております。株式会社ABCの田中です。,Cảm ơn quý công ty đã luôn giúp đỡ. Tôi là Tanaka của công ty ABC.
よろしくお願いいたします,よろしくおねがいいたします,"mong được giúp đỡ, mong hợp tác",本件、何卒よろしくお願いいたします。,"Về việc này, kính mong quý vị giúp đỡ."
恐れ入りますが,おそれいりますが,xin lỗi vì làm phiền / xin phép,恐れ入りますが、資料をご確認いただけますでしょうか。,"Xin lỗi vì làm phiền, quý vị có thể xác nhận giúp tài liệu được không ạ."
承知いたしました,しょうちいたしました,"tôi đã hiểu rõ, xin tuân theo",ご指示の件、承知いたしました。,"Về chỉ thị của quý vị, tôi đã hiểu rõ."
かしこまりました,かしこまりました,"vâng, tôi xin tuân theo",はい、かしこまりました。すぐに対応いたします。,"Vâng, tôi xin tuân theo. Tôi sẽ xử lý ngay."
失礼いたします,しつれいいたします,xin phép/xin lỗi vì thất lễ,それでは、失礼いたします。,"Vậy thì, tôi xin phép ạ."
お手数をおかけしますが,おてすうをおかけしますが,"xin lỗi vì gây phiền phức, nhưng",お手数をおかけしますが、ご確認よろしくお願いいたします。,"Xin lỗi vì gây phiền phức, mong quý vị xác nhận giúp."
差し支えなければ,さしつかえなければ,nếu không có gì bất tiện,差し支えなければ、来週お伺いしてもよろしいでしょうか。,"Nếu không có gì bất tiện, tuần sau tôi có thể ghé thăm được không ạ."
ご確認ください,ごかくにんください,xin vui lòng xác nhận,添付ファイルをご確認ください。,Xin vui lòng xác nhận file đính kèm.
ご了承ください,ごりょうしょうください,xin quý vị thông cảm/chấp thuận,納期が遅れる可能性がございます。ご了承ください。,Có khả năng giao hàng bị trễ. Mong quý vị thông cảm.
申し訳ございません,もうしわけございません,tôi thành thật xin lỗi,ご迷惑をおかけし、誠に申し訳ございません。,"Đã gây phiền phức, tôi thành thật xin lỗi."
ご対応いただき,ごたいおういただき,đã được quý vị xử lý giúp,迅速にご対応いただき、ありがとうございます。,Cảm ơn quý vị đã xử lý nhanh chóng giúp.
お忙しいところ恐れ入ります,おいそがしいところおそれいります,xin lỗi vì làm phiền lúc quý vị đang bận,お忙しいところ恐れ入りますが、ご返信いただけますと幸いです。,"Xin lỗi vì làm phiền lúc quý vị đang bận, rất mong nhận được phản hồi."
添付いたします,てんぷいたします,tôi xin đính kèm,見積書を添付いたしますので、ご確認ください。,"Tôi xin đính kèm bảng báo giá, mong quý vị xác nhận."
ご査収ください,ごさしゅうください,xin vui lòng nhận và kiểm tra,請求書をお送りいたしますので、ご査収ください。,"Tôi sẽ gửi hóa đơn, xin vui lòng nhận và kiểm tra."
取り急ぎ,とりいそぎ,"trước mắt, tạm thời (báo nhanh)",取り急ぎ、ご連絡まで。,"Trước mắt, xin báo để quý vị nắm được."
何卒,なにとぞ,kính mong (trang trọng hơn どうか),何卒よろしくお願い申し上げます。,Kính mong quý vị giúp đỡ.
ご不明な点がございましたら,ごふめいなてんがございましたら,nếu có điểm nào chưa rõ,ご不明な点がございましたら、お気軽にお問い合わせください。,"Nếu có điểm nào chưa rõ, xin đừng ngần ngại liên hệ."
念のため,ねんのため,để chắc chắn hơn,念のため、日程を再度ご確認ください。,"Để chắc chắn hơn, xin vui lòng xác nhận lại lịch trình."
引き続き,ひきつづき,tiếp tục (như trước),引き続きよろしくお願いいたします。,Mong tiếp tục nhận được sự giúp đỡ của quý vị.
ご査証,ごさしょう,kính xin xác nhận / thị thực,ビザのご査証手続きについてご案内します。,Tôi xin hướng dẫn về thủ tục xác nhận visa.
以上、よろしくお願いいたします,いじょう、よろしくおねがいいたします,"trên đây là toàn bộ, mong quý vị giúp đỡ",以上、よろしくお願いいたします。,"Trên đây là toàn bộ nội dung, mong quý vị giúp đỡ."
議事録,ぎじろく,biên bản cuộc họp,会議終了後、議事録を共有いたします。,"Sau khi họp xong, tôi sẽ chia sẻ biên bản cuộc họp."
